page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
25,1440,1080,16,1,1,"(77768692,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,371,1939,1807413056,8329749000000,1.666,66.0
26,1440,1080,16,1,1,"(80879426,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,372,1939,1874413056,8329816000000,1.733,67.0
27,1440,1080,16,1,1,"(83990160,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,373,1939,1941413056,8329883000000,1.8,67.0
28,1440,1080,16,1,1,"(87100894,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,374,1939,2007413056,8329949000000,1.866,66.0
29,1440,1080,16,1,1,"(90211628,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,375,1939,2074413056,8330016000000,1.933,67.0
30,1440,1080,16,1,1,"(93322362,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,376,1939,2141413056,8330083000000,2.0,67.0
31,1440,1080,16,1,1,"(96433096,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,377,1939,2207413056,8330149000000,2.066,66.0
32,1440,1080,16,1,1,"(99543830,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,378,1939,2274413056,8330216000000,2.133,67.0
33,1440,1080,16,1,1,"(102654564,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,379,1939,2341413056,8330283000000,2.2,67.0
34,1440,1080,16,1,1,"(105765298,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,380,1939,2407413056,8330349000000,2.266,66.0
35,1440,1080,16,1,1,"(108876032,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,381,1939,2474413056,8330416000000,2.333,67.0
36,1440,1080,16,1,1,"(111986766,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,382,1939,2541413056,8330483000000,2.4,67.0
37,1440,1080,16,1,1,"(115097500,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,383,1939,2607413056,8330549000000,2.466,66.0
38,1440,1080,16,1,1,"(118208234,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,384,1939,2674413056,8330616000000,2.533,67.0
39,1440,1080,16,1,1,"(121318968,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,385,1939,2741413056,8330683000000,2.6,67.0
40,1440,1080,16,1,1,"(124429702,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,386,1939,2807413056,8330749000000,2.666,66.0
41,1440,1080,16,1,1,"(127540436,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,387,1939,2874413056,8330816000000,2.733,67.0
42,1440,1080,16,1,1,"(130651170,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,388,1939,2941413056,8330883000000,2.8,67.0
43,1440,1080,16,1,1,"(133761904,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,389,1939,3007413056,8330949000000,2.866,66.0
44,1440,1080,16,1,1,"(136872638,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,390,1939,3074413056,8331016000000,2.933,67.0
45,1440,1080,16,1,1,"(139983372,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,391,1939,3141413056,8331083000000,3.0,67.0
46,1440,1080,16,1,1,"(143094106,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,392,1939,3207413056,8331149000000,3.066,66.0
47,1440,1080,16,1,1,"(146204840,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,393,1939,3274413056,8331216000000,3.133,67.0
48,1440,1080,16,1,1,"(149315574,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,394,1939,3341413056,8331283000000,3.2,67.0
49,1440,1080,16,1,1,"(152426308,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,395,1939,3407413056,8331349000000,3.266,66.0
50,1440,1080,16,1,1,"(155537042,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,396,1939,3474413056,8331416000000,3.333,67.0
51,1440,1080,16,1,1,"(158647776,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,397,1939,3541413056,8331483000000,3.4,67.0
52,1440,1080,16,1,1,"(161758510,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,398,1939,3607413056,8331549000000,3.466,66.0
53,1440,1080,16,1,1,"(164869244,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,399,1939,3674413056,8331616000000,3.533,67.0
54,1440,1080,16,1,1,"(167979978,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,400,1939,3741413056,8331683000000,3.6,67.0
55,1440,1080,16,1,1,"(171090712,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,401,1939,3807413056,8331749000000,3.666,66.0
56,1440,1080,16,1,1,"(174201446,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,402,1939,3874413056,8331816000000,3.733,67.0
57,1440,1080,16,1,1,"(177312180,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,403,1939,3941413056,8331883000000,3.8,67.0
58,1440,1080,16,1,1,"(180422914,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,404,1939,4007413056,8331949000000,3.866,66.0
59,1440,1080,16,1,1,"(183533648,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,405,1939,4074413056,8332016000000,3.933,67.0
60,1440,1080,16,1,1,"(186644382,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,406,1939,4141413056,8332083000000,4.0,67.0
61,1440,1080,16,1,1,"(189755116,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,407,1939,4207413056,8332149000000,4.066,66.0
62,1440,1080,16,1,1,"(192865850,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,408,1939,4274413056,8332216000000,4.133,67.0
63,1440,1080,16,1,1,"(195976584,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,409,1940,46445760,8332283000000,4.2,67.0
64,1440,1080,16,1,1,"(199087318,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,410,1940,112445760,8332349000000,4.266,66.0
65,1440,1080,16,1,1,"(202198052,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,411,1940,179445760,8332416000000,4.333,67.0
66,1440,1080,16,1,1,"(205308786,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,412,1940,246445760,8332483000000,4.4,67.0
67,1440,1080,16,1,1,"(208419520,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,413,1940,312445760,8332549000000,4.466,66.0
68,1440,1080,16,1,1,"(211530254,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,414,1940,379445760,8332616000000,4.533,67.0
69,1440,1080,16,1,1,"(214640988,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,415,1940,446445760,8332683000000,4.6,67.0
70,1440,1080,16,1,1,"(217751722,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,416,1940,512445760,8332749000000,4.666,66.0
71,1440,1080,16,1,1,"(220862456,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,417,1940,579445760,8332816000000,4.733,67.0
72,1440,1080,16,1,1,"(223973190,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,418,1940,646445760,8332883000000,4.8,67.0
73,1440,1080,16,1,1,"(227083924,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,419,1940,712445760,8332949000000,4.866,66.0
74,1440,1080,16,1,1,"(230194658,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,420,1940,779445760,8333016000000,4.933,67.0
75,1440,1080,16,1,1,"(233305392,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,421,1940,846445760,8333083000000,5.0,67.0
